agent	agent	13483	3	w	agent_list_2 - Blad1
agency	agency	72	3	w	agent_list_2 - Blad1
autonomous	autonomous	970	3	w	agent_list_2 - Blad1
up to	up to	166	3	w	agent_list_2 - Blad1
autonomy	autonomy	259	3	w	agent_list_2 - Blad1
autonomous	autonomous	970	3	w	agent_list_2 - Blad1
autonomously	autonomously	225	3	w	agent_list_2 - Blad1
semi-autonomous	semi-autonomous	2	2	w	agent_list_2 - Blad1
(semi-)autonomous	(semi-)autonomous	1	2	w	agent_list_2 - Blad1
semi-autonomy	semi-autonomy	1	1	w	agent_list_2 - Blad1
toautonomously	toautonomously	1	2	w	agent_list_2 - Blad1
human-autonomy	human-autonomy	3	1	w	agent_list_2 - Blad1
full-autonomy	full-autonomy	2	3	w	agent_list_2 - Blad1
autonomata	autonomata	1	3	w	agent_list_2 - Blad1
self-autonomous	self-autonomous	4	3	w	agent_list_2 - Blad1
task environment	task environment	11	3	w	agent_list_2 - Blad1
physical world	physical world	68	1	w	agent_list_2 - Blad1
simulators	simulators	89	1	w	agent_list_2 - Blad1
simulate	simulate	203	2	w	agent_list_2 - Blad1
simulating	simulating	119	2	w	agent_list_2 - Blad1
simulates	simulates	37	2	w	agent_list_2 - Blad1
simulation	simulation	957	2	w	agent_list_2 - Blad1
simulations	simulations	331	2	w	agent_list_2 - Blad1
simulator	simulator	221	2	w	agent_list_2 - Blad1
simulated	simulated	382	2	w	agent_list_2 - Blad1
llm-simulated	llm-simulated	1	3	w	agent_list_2 - Blad1
simulation-based	simulation-based	25	1	w	agent_list_2 - Blad1
simulator-rendered	simulator-rendered	1	1	w	agent_list_2 - Blad1
simulacra	simulacra	7	2	w	agent_list_2 - Blad1
re-simulating	re-simulating	1	1	w	agent_list_2 - Blad1
simula	simula	2	2	w	agent_list_2 - Blad1
simulatable	simulatable	1	1	w	agent_list_2 - Blad1
self-simulated	self-simulated	1	1	w	agent_list_2 - Blad1
simulation(s)	simulation(s)	1	1	w	agent_list_2 - Blad1
microsimulation	microsimulation	3	1	w	agent_list_2 - Blad1
dynamics	dynamics	842	1	w	agent_list_2 - Blad1
dynamic	dynamic	715	3	w	agent_list_2 - Blad1
dynamically	dynamically	221	3	w	agent_list_2 - Blad1
dynamical	dynamical	48	1	w	agent_list_2 - Blad1
structural-dynamical	structural-dynamical	1	1	w	agent_list_2 - Blad1
dynamically-generated	dynamically-generated	1	3	w	agent_list_2 - Blad1
dynamics-model	dynamics-model	1	2	w	agent_list_2 - Blad1
dynamicaly	dynamicaly	1	2	w	agent_list_2 - Blad1
dynamics-based	dynamics-based	1	2	w	agent_list_2 - Blad1
influenced by	influenced by	44	1	w	agent_list_2 - Blad1
influences the	influences the	16	1	w	agent_list_2 - Blad1
influence of	influence of	68	1	w	agent_list_2 - Blad1
influence their	influence their	4	1	w	agent_list_2 - Blad1
influence on	influence on	25	1	w	agent_list_2 - Blad1
influencing training	influencing training	1	1	w	agent_list_2 - Blad1
influences from	influences from	1	1	w	agent_list_2 - Blad1
influence ,	influence ,	5	1	w	agent_list_2 - Blad1
influence each	influence each	5	1	w	agent_list_2 - Blad1
influences of	influences of	1	1	w	agent_list_2 - Blad1
influence the	influence the	53	1	w	agent_list_2 - Blad1
influences both	influences both	2	1	w	agent_list_2 - Blad1
influence performance	influence performance	1	1	w	agent_list_2 - Blad1
influence .	influence .	9	1	w	agent_list_2 - Blad1
influences navigation	influences navigation	1	1	w	agent_list_2 - Blad1
influence decision-making	influence decision-making	1	1	w	agent_list_2 - Blad1
influence this	influence this	1	1	w	agent_list_2 - Blad1
influences how	influences how	2	1	w	agent_list_2 - Blad1
influence long-term	influence long-term	1	1	w	agent_list_2 - Blad1
influencing other	influencing other	9	1	w	agent_list_2 - Blad1
influencing how	influencing how	3	1	w	agent_list_2 - Blad1
influences other	influences other	1	1	w	agent_list_2 - Blad1
influence one	influence one	2	1	w	agent_list_2 - Blad1
influencing such	influencing such	1	1	w	agent_list_2 - Blad1
influence and	influence and	3	1	w	agent_list_2 - Blad1
influence perception	influence perception	1	1	w	agent_list_2 - Blad1
influencing their	influencing their	3	1	w	agent_list_2 - Blad1
influence training	influence training	1	1	w	agent_list_2 - Blad1
influence temporal	influence temporal	1	2	w	agent_list_2 - Blad1
influences *	influences the	16	1	w	agent_list_2 - Blad1
influences *	influences from	1	1	w	agent_list_2 - Blad1
influences *	influences of	1	1	w	agent_list_2 - Blad1
influences *	influences both	2	1	w	agent_list_2 - Blad1
influences *	influences map	1	1	w	agent_list_2 - Blad1
influences *	influences navigation	1	1	w	agent_list_2 - Blad1
influences *	influences how	2	1	w	agent_list_2 - Blad1
influences *	influences other	1	1	w	agent_list_2 - Blad1
influences *	influences *	1	1	w	agent_list_2 - Blad1
influences *	influences operator	1	1	w	agent_list_2 - Blad1
influences *	influences sensations	1	1	w	agent_list_2 - Blad1
influences *	influences policy-gradient	1	1	w	agent_list_2 - Blad1
influences *	influences performance	1	1	w	agent_list_2 - Blad1
influences *	influences actions	2	1	w	agent_list_2 - Blad1
influences *	influences converge	1	1	w	agent_list_2 - Blad1
influences *	influences -	1	1	w	agent_list_2 - Blad1
influences *	influences bilp	1	1	w	agent_list_2 - Blad1
influences *	influences .	1	1	w	agent_list_2 - Blad1
influences *	influences what	1	1	w	agent_list_2 - Blad1
influences *	influences overall	1	1	w	agent_list_2 - Blad1
influences *	influences preference	1	1	w	agent_list_2 - Blad1
influences *	influences and	2	1	w	agent_list_2 - Blad1
influences *	influences ,	2	1	w	agent_list_2 - Blad1
influences *	influences on	1	1	w	agent_list_2 - Blad1
influences *	influences learning	1	1	w	agent_list_2 - Blad1
influence its	influence its	4	1	w	agent_list_2 - Blad1
influences operator	influences operator	1	3	w	agent_list_2 - Blad1
influence behavior	influence behavior	1	3	w	agent_list_2 - Blad1
influenced the	influenced the	4	1	w	agent_list_2 - Blad1
influenced either	influenced either	1	1	w	agent_list_2 - Blad1
influence flows	influence flows	1	1	w	agent_list_2 - Blad1
influence agents	influence agents	1	3	w	agent_list_2 - Blad1
influence (	influence (	3	1	w	agent_list_2 - Blad1
