agent	agent	13483	3	w	agent_list_4 - Blad1
agency	agency	72	3	w	agent_list_4 - Blad1
autonomous	autonomous	970	3	w	agent_list_4 - Blad1
up to	up to	166	3	w	agent_list_4 - Blad1
autonomy	autonomy	259	3	w	agent_list_4 - Blad1
autonomously	autonomously	225	3	w	agent_list_4 - Blad1
semi-autonomous	semi-autonomous	2	1	w	agent_list_4 - Blad1
(semi-)autonomous	(semi-)autonomous	1	1	w	agent_list_4 - Blad1
semi-autonomy	semi-autonomy	1	1	w	agent_list_4 - Blad1
full-autonomy	full-autonomy	2	3	w	agent_list_4 - Blad1
autonomata	autonomata	1	3	w	agent_list_4 - Blad1
self-autonomous	self-autonomous	4	3	w	agent_list_4 - Blad1
task environment	task environment	11	2	w	agent_list_4 - Blad1
physical world	physical world	68	2	w	agent_list_4 - Blad1
simulators	simulators	89	1	w	agent_list_4 - Blad1
simulate	simulate	203	1	w	agent_list_4 - Blad1
simulating	simulating	119	1	w	agent_list_4 - Blad1
simulates	simulates	37	1	w	agent_list_4 - Blad1
simulation	simulation	957	1	w	agent_list_4 - Blad1
simulations	simulations	331	1	w	agent_list_4 - Blad1
simulator	simulator	221	1	w	agent_list_4 - Blad1
simulated	simulated	382	1	w	agent_list_4 - Blad1
simulation-based	simulation-based	25	2	w	agent_list_4 - Blad1
simulacra	simulacra	7	1	w	agent_list_4 - Blad1
simula	simula	2	1	w	agent_list_4 - Blad1
simulatable	simulatable	1	1	w	agent_list_4 - Blad1
self-simulated	self-simulated	1	3	w	agent_list_4 - Blad1
microsimulation	microsimulation	3	1	w	agent_list_4 - Blad1
dynamics	dynamics	842	1	w	agent_list_4 - Blad1
dynamic	dynamic	715	1	w	agent_list_4 - Blad1
dynamically	dynamically	221	1	w	agent_list_4 - Blad1
dynamical	dynamical	48	1	w	agent_list_4 - Blad1
dynamicaly	dynamicaly	1	1	w	agent_list_4 - Blad1
dynamics-based	dynamics-based	1	1	w	agent_list_4 - Blad1
influences operator	influences operator	1	1	w	agent_list_4 - Blad1
influence behavior	influence behavior	1	2	w	agent_list_4 - Blad1
influences policy-gradient	influences policy-gradient	1	1	w	agent_list_4 - Blad1
influence memory	influence memory	1	2	w	agent_list_4 - Blad1
influencing factors	influencing factors	1	2	w	agent_list_4 - Blad1
influences performance	influences performance	1	2	w	agent_list_4 - Blad1
influences actions	influences actions	2	2	w	agent_list_4 - Blad1
influence processing	influence processing	1	1	w	agent_list_4 - Blad1
influences converge	influences converge	1	1	w	agent_list_4 - Blad1
influencing action	influencing action	1	2	w	agent_list_4 - Blad1
influence-aware memory	influence-aware memory	4	1	w	agent_list_4 - Blad1
influenced movement	influenced movement	1	2	w	agent_list_4 - Blad1
influence factors	influence factors	1	2	w	agent_list_4 - Blad1
interact	interact	480	1	w	agent_list_4 - Blad1
action	action	4886	3	w	agent_list_4 - Blad1
actions	actions	3697	3	w	agent_list_4 - Blad1
active	active	283	1	w	agent_list_4 - Blad1
interactions	interactions	928	1	w	agent_list_4 - Blad1
interaction	interaction	1178	1	w	agent_list_4 - Blad1
interacting	interacting	231	1	w	agent_list_4 - Blad1
actor	actor	298	3	w	agent_list_4 - Blad1
acts	acts	145	3	w	agent_list_4 - Blad1
act	act	293	3	w	agent_list_4 - Blad1
actuated	actuated	6	1	w	agent_list_4 - Blad1
interacts	interacts	122	1	w	agent_list_4 - Blad1
actuators	actuators	86	2	w	agent_list_4 - Blad1
acting	acting	157	3	w	agent_list_4 - Blad1
actuation	actuation	14	1	w	agent_list_4 - Blad1
interacted	interacted	24	1	w	agent_list_4 - Blad1
action-specific	action-specific	1	1	w	agent_list_4 - Blad1
actively	actively	89	1	w	agent_list_4 - Blad1
activating	activating	24	1	w	agent_list_4 - Blad1
activated	activated	75	1	w	agent_list_4 - Blad1
activations	activations	43	1	w	agent_list_4 - Blad1
activity	activity	208	1	w	agent_list_4 - Blad1
interactive	interactive	387	1	w	agent_list_4 - Blad1
acted	acted	7	3	w	agent_list_4 - Blad1
counterfactual	counterfactual	14	1	w	agent_list_4 - Blad1
reactively	reactively	1	1	w	agent_list_4 - Blad1
reactive	reactive	77	1	w	agent_list_4 - Blad1
reactivity	reactivity	10	1	w	agent_list_4 - Blad1
activities	activities	159	1	w	agent_list_4 - Blad1
[int]eractive	[int]eractive	1	1	w	agent_list_4 - Blad1
activate	activate	50	1	w	agent_list_4 - Blad1
react	react	251	1	w	agent_list_4 - Blad1
actors	actors	80	3	w	agent_list_4 - Blad1
activates	activates	25	1	w	agent_list_4 - Blad1
enact	enact	9	1	w	agent_list_4 - Blad1
reaction	reaction	38	1	w	agent_list_4 - Blad1
action-space	action-space	4	3	w	agent_list_4 - Blad1
reactiveness	reactiveness	4	1	w	agent_list_4 - Blad1
reacts	reacts	9	1	w	agent_list_4 - Blad1
actualize	actualize	4	1	w	agent_list_4 - Blad1
active-prompt	active-prompt	2	1	w	agent_list_4 - Blad1
actionable	actionable	48	1	w	agent_list_4 - Blad1
actuator	actuator	63	2	w	agent_list_4 - Blad1
subaction	subaction	1	1	w	agent_list_4 - Blad1
reactions	reactions	56	1	w	agent_list_4 - Blad1
interactively	interactively	14	1	w	agent_list_4 - Blad1
counterfactuals	counterfactuals	4	1	w	agent_list_4 - Blad1
action-spaces	action-spaces	1	3	w	agent_list_4 - Blad1
action-sequences	action-sequences	1	1	w	agent_list_4 - Blad1
self-activating	self-activating	9	3	w	agent_list_4 - Blad1
self-activation	self-activation	2	3	w	agent_list_4 - Blad1
actuator-driven	actuator-driven	1	2	w	agent_list_4 - Blad1
counter-factual	counter-factual	6	1	w	agent_list_4 - Blad1
autoact	autoact	7	2	w	agent_list_4 - Blad1
action-set	action-set	2	1	w	agent_list_4 - Blad1
interactants	interactants	1	1	w	agent_list_4 - Blad1
action-clip	action-clip	3	1	w	agent_list_4 - Blad1
action-clips	action-clips	4	1	w	agent_list_4 - Blad1
chain-of-action	chain-of-action	8	1	w	agent_list_4 - Blad1
action-plannings	action-plannings	1	1	w	agent_list_4 - Blad1
do	do	1030	3	w	agent_list_4 - Blad1
purposive	purposive	19	3	w	agent_list_4 - Blad1
purposeful	purposeful	5	3	w	agent_list_4 - Blad1
purposefulness	purposefulness	3	3	w	agent_list_4 - Blad1
purposefully	purposefully	3	3	w	agent_list_4 - Blad1
purpose-driven	purpose-driven	1	3	w	agent_list_4 - Blad1
